# freq  gate_dB  out_dB
10  -0.0378  -26.9458
13  -0.0335  -26.9323
16  -0.0313  -26.9255
20  -0.0298  -26.9209
25  -0.0289  -26.9178
32  -0.0282  -26.9159
40  -0.0278  -26.9147
50  -0.0276  -26.9140
63  -0.0275  -26.9134
80  -0.0274  -26.9132
100  -0.0274  -26.9130
125  -0.0275  -26.9130
160  -0.0276  -26.9132
200  -0.0278  -26.9134
250  -0.0282  -26.9136
315  -0.0288  -26.9144
400  -0.0299  -26.9153
500  -0.0314  -26.9169
630  -0.0339  -26.9194
800  -0.0380  -26.9234
1000  -0.0441  -26.9296
1250  -0.0537  -26.9390
1600  -0.0705  -26.9560
2000  -0.0948  -26.9803
2500  -0.1324  -27.0178
3150  -0.1930  -27.0784
4000  -0.2916  -27.1771
5000  -0.4335  -27.3189
6300  -0.6557  -27.5410
8000  -1.0001  -27.8855
10000  -1.4646  -28.3501
12500  -2.1036  -28.9891
16000  -3.0469  -29.9324
20000  -4.1253  -31.0107
25000  -5.4076  -32.2929
31500  -6.9223  -33.8078
40000  -8.6465  -35.5316
50000  -10.3641  -37.2498
63000  -12.2202  -39.1053
80000  -14.1943  -41.0798
100000  -16.0726  -42.9577
125000  -17.9710  -44.8566
160000  -20.0881  -46.9744
200000  -22.0118  -48.8981
