# t_ms  gate_V  out_mV
0.00  1.05510  0.0000
0.10  1.10840  -2.5910
0.20  1.14754  -4.7060
0.30  1.15136  -4.9200
0.40  1.11838  -3.1090
0.50  1.06122  -0.2730
0.60  1.00170  2.2300
0.70  0.96256  3.5980
0.80  0.95875  3.7170
0.90  0.99172  2.5970
1.00  1.04888  0.2800
1.10  1.10840  -2.5900
1.20  1.14754  -4.7050
1.30  1.15136  -4.9180
1.40  1.11838  -3.1070
1.50  1.06122  -0.2710
1.60  1.00170  2.2320
1.70  0.96256  3.5990
1.80  0.95875  3.7180
1.90  0.99172  2.5980
2.00  1.04888  0.2810
2.10  1.10840  -2.5880
2.20  1.14754  -4.7040
2.30  1.15136  -4.9170
2.40  1.11838  -3.1060
2.50  1.06122  -0.2700
2.60  1.00170  2.2330
2.70  0.96256  3.6010
2.80  0.95875  3.7200
2.90  0.99172  2.6000
3.00  1.04888  0.2830
3.10  1.10840  -2.5870
3.20  1.14754  -4.7020
3.30  1.15136  -4.9150
3.40  1.11838  -3.1040
3.50  1.06122  -0.2690
3.60  1.00170  2.2350
3.70  0.96256  3.6020
3.80  0.95875  3.7210
3.90  0.99172  2.6010
4.00  1.04888  0.2840
4.10  1.10840  -2.5850
4.20  1.14754  -4.7010
4.30  1.15136  -4.9140
4.40  1.11838  -3.1030
4.50  1.06122  -0.2670
4.60  1.00170  2.2360
4.70  0.96256  3.6040
4.80  0.95875  3.7230
4.90  0.99172  2.6030
5.00  1.04888  0.2850
